[08:12:12.534] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20170314
[08:12:13.049] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20220527
[08:12:13.562] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20201116
[08:12:14.081] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20230208
[08:12:14.585] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190115
[08:12:15.094] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20240112
[08:12:15.607] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210421
[08:12:16.119] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20240409
[08:12:16.630] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20230601
[08:12:17.147] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20241213
[08:12:17.657] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20230217
[08:12:18.166] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20220502
[08:12:22.297] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20231129
[08:12:25.316] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20231129
[08:12:25.830] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190919
[08:13:08.010] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240118
[08:13:11.128] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240730
[08:13:13.036] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240408
[08:13:14.526] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:13:17.219] Fragment Rerender - Config: ('KRWQ3L', '20240116', '20260123'), Selected: 20240116
[08:13:19.802] Fragment Rerender - Config: ('KRWQ3L', '20240116', '20260123'), Selected: 20240116
[08:13:21.688] Fragment Rerender - Config: ('KRWQ3L', '20240116', '20260123'), Selected: 20240320
[08:13:25.979] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:13:26.332] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:13:28.739] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:13:29.009] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:13:29.521] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20220106
[08:13:30.138] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20170619
[08:13:31.036] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20181004
[08:13:35.788] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190628
[08:13:36.642] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200824
[08:13:38.698] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210118
[08:13:39.604] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20211215
[08:13:43.069] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220620
[08:13:44.000] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240227
[08:13:44.721] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240816
[08:13:45.885] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20250210
[08:13:46.989] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200325
[08:14:43.377] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:14:46.578] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:14:47.232] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20211027
[08:14:47.870] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20201123
[08:14:48.539] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20180314
[08:14:49.176] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230414
[08:14:49.825] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210308
[08:14:50.473] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220922
[08:14:51.109] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220628
[08:14:51.759] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230518
[08:14:52.408] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200916
[08:15:03.977] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:15:06.623] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:15:07.132] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220525
